skill_name,skill_rating,skill_reviews,skill_link,skill_description
None,No Rating,,https://www.amazon.com/VoxLR8-Charlies-Magic-Socks/dp/B07N3S9YX4/ref=sr_1_2420?dchild=1&qid=1624660829&s=alexa-skills&sr=1-2420,
None,No Rating,,https://www.amazon.com/Robot-Ravers-Controlling-our-Body/dp/B08BLMW3PP/ref=sr_1_832?dchild=1&qid=1624660658&s=alexa-skills&sr=1-832,
None,No Rating,,https://www.amazon.com/Thomahawk217-Lets-Be-Friends/dp/B078V7NTWD/ref=sr_1_3363?dchild=1&qid=1624660932&s=alexa-skills&sr=1-3363,
None,No Rating,,https://www.amazon.com/Satyabrat-Sekhar-Birthday-Trivia/dp/B07Q5L181D/ref=sr_1_2259?dchild=1&qid=1624660812&s=alexa-skills&sr=1-2259,
None,No Rating,,https://www.amazon.com/C0ders-Compliments-Ma/dp/B095CHD3G7/ref=sr_1_240?dchild=1&qid=1624660590&s=alexa-skills&sr=1-240,
None,No Rating,,https://www.amazon.com/Pawel-Matusz-My-Fluffy-Friend/dp/B078X251SS/ref=sr_1_54?dchild=1&qid=1624660570&s=alexa-skills&sr=1-54,
None,No Rating,,https://www.amazon.com/SayKid-Turn-Taker-Deciding-Turns/dp/B088K75WJM/ref=sr_1_951?dchild=1&qid=1624660672&s=alexa-skills&sr=1-951,
None,No Rating,,https://www.amazon.com/Smarticles-Community-Helpers/dp/B07DB9JMCP/ref=sr_1_3033?dchild=1&qid=1624660895&s=alexa-skills&sr=1-3033,
None,No Rating,,https://www.amazon.com/Yr-Best-Friend/dp/B08FXLKSB6/ref=sr_1_706?dchild=1&qid=1624660646&s=alexa-skills&sr=1-706,
None,No Rating,,https://www.amazon.com/Cohen-burkinshaw-Worlds-Best-Dad/dp/B07TTZDSG9/ref=sr_1_2030?dchild=1&qid=1624660787&s=alexa-skills&sr=1-2030,
None,No Rating,,https://www.amazon.com/Shuai-Yuan-Friendship-Quotes/dp/B078WTQVGL/ref=sr_1_3321?dchild=1&qid=1624660927&s=alexa-skills&sr=1-3321,
None,No Rating,,https://www.amazon.com/Lucas-Happy-one/dp/B08K95K6VH/ref=sr_1_622?dchild=1&qid=1624660634&s=alexa-skills&sr=1-622,
None,No Rating,,https://www.amazon.com/Loud-Bird-Story-Theater-Enabled/dp/B07KWT2RLP/ref=sr_1_145?dchild=1&qid=1624660581&s=alexa-skills&sr=1-145,
None,No Rating,,https://www.amazon.com/Djacomo-Naples-Best-Dad/dp/B07PP5BP7X/ref=sr_1_2302?dchild=1&qid=1624660816&s=alexa-skills&sr=1-2302,
None,No Rating,,https://www.amazon.com/Amrita-Durga-Sophia-Compliments/dp/B0836VYH76/ref=sr_1_1419?dchild=1&qid=1624660722&s=alexa-skills&sr=1-1419,
None,No Rating,,https://www.amazon.com/Neil-Caldwell-Bluey-Facts/dp/B07MJP27XH/ref=sr_1_2438?dchild=1&qid=1624660831&s=alexa-skills&sr=1-2438,
None,No Rating,,https://www.amazon.com/Nguyen-Duc-Phuong-AskMe-Contest/dp/B078WRGBVL/ref=sr_1_3322?dchild=1&qid=1624660927&s=alexa-skills&sr=1-3322,
None,No Rating,,https://www.amazon.com/Damian-w-Secret-secret/dp/B07W86PDJF/ref=sr_1_1942?dchild=1&qid=1624660779&s=alexa-skills&sr=1-1942,
None,No Rating,,https://www.amazon.com/Chris-Martinez-School-Counselor/dp/B078MPSYP6/ref=sr_1_3451?dchild=1&qid=1624660941&s=alexa-skills&sr=1-3451,
None,No Rating,,https://www.amazon.com/SayuWorks-LLC-Ask-My-Child/dp/B076128V3Y/ref=sr_1_3640?dchild=1&qid=1624660961&s=alexa-skills&sr=1-3640,
None,No Rating,,https://www.amazon.com/Shanae-Thinking-of-you/dp/B07T72SS61/ref=sr_1_2067?dchild=1&qid=1624660792&s=alexa-skills&sr=1-2067,
None,No Rating,,https://www.amazon.com/Bradley-Cook-Your-the-best/dp/B07STQMKNL/ref=sr_1_2100?dchild=1&qid=1624660796&s=alexa-skills&sr=1-2100,
